"date","state","Total number of new cases in 7 days to reach circuit breaker","Average daily cases to reach circuit breaker","Total number of new hospitalizations in 7 days to reach circuit breaker","Average daily hospitalizations to reach circuit breaker","Total Beds","Open Beds (HHS Data)","Open Beds","Total ICU Beds","Open ICU Beds","Average New Daily Cases","New Cases Yesterday (State)","Average daily cases to reach ICU circuit breaker","casethresholdpct","Percent Occupied (State Nowcast)","Percent Occupied (State HHS Data)","ICU Percent Occupied","At Threshold?","At ICU Threshold?","Category","ICU Category","Warning"
2022-09-26,"NJ",83817.5163493529,11973.9309070504,5604.10258014744,800.586082878205,16331.6,7030,4669.10258014744,2895,1707,2505.57142857143,1505,118884.249045073,20.9252203643176,71.4106236979387,66.8693152363448,41.0362694300518,"No","No","Has Capacity","Has Capacity",
2022-09-26,"NM",7965.78235142677,1137.96890734668,678.998424234533,96.9997748906475,1910.1,1070,548.998424234533,356,87,225.714285714286,0,1850.42857142857,19.8348376881902,71.2581318132803,70.7170224411604,75.561797752809,"No","No","Has Capacity","Has Capacity",
2022-09-26,"NV",19290.9351228194,2755.84787468849,1241.65869738591,177.379813912273,5009.7,1943,1123.65869738591,778,218,169.428571428571,0,9718.53631961259,6.14796531349624,77.5703395934705,73.6435160065111,71.9794344473008,"No","No","Has Capacity","Has Capacity",
2022-09-26,"NY",126863.699986317,18123.3857123311,9063.02363542778,1294.71766220397,33576.9,10212,6851.02363542778,4518,1318,4923.57142857143,8039,78880.135177872,27.166951621084,79.5960209684998,77.172236503856,70.8277999114652,"No","No","Has Capacity","Has Capacity",
2022-09-26,"OH",95656.0186466878,13665.1455209554,5831.889420217,833.127060031,19800.5,6281,4578.889420217,3669,1198,2076.57142857143,0,63954.0394001764,15.1961164656975,76.8748798251711,75.5431819951717,67.3480512401199,"No","No","Has Capacity","Has Capacity",
2022-09-26,"OK",42755.1768504461,6107.88240720659,2091.9279484783,298.846849782614,6375.3,3079,1804.9279484783,955,295,637.142857142857,0,10834.9228471877,10.4314853277316,71.6887370244804,66.5107678921035,69.1099476439791,"No","No","Has Capacity","Has Capacity",
2022-09-26,"OR",7371.03984273184,1053.00569181883,1084.61239828031,154.944628325758,4746.2,1433,804.612398280308,670,162,649.142857142857,0,3496.66373626374,61.6466617594067,83.0472293986704,78.0953836747172,75.8208955223881,"No","No","Has Capacity","Has Capacity",
2022-09-26,"PA",94593.6531530551,13513.379021865,6732.75972973304,961.822818533292,23903.1,7346,5486.75972973304,3428,907,2711.57142857143,0,44266.3728057224,20.0658282742165,77.045823639055,76.2925192022203,73.5414235705951,"No","No","Has Capacity","Has Capacity",
2022-09-26,"RI",6071.54103950104,867.363005643006,266.295659627239,38.0422370896055,1642.4,212,201.295659627239,146,17,254.142857142857,0,2924.91428571429,29.3006337011633,87.7438103003386,90.4719101123596,88.3561643835616,"No","No","Has Capacity","Has Capacity",
2022-09-26,"SC",49859.5754993578,7122.79649990826,2172.35592890853,310.336561272647,8616.6,2456,1881.35592890853,1291,423,691.142857142857,671,24015.4955817378,9.70325148488741,78.1659131338517,75.2044422009086,67.2347017815647,"No","No","Has Capacity","Has Capacity",
2022-09-26,"SD",5817.31893000191,831.045561428844,486.016415294277,69.430916470611,1585.4,826,388.016415294277,241,106,136.571428571429,0,5216.69887546855,16.4336872621781,75.5256455598412,61.0009442870633,56.0165975103734,"No","No","Has Capacity","Has Capacity",
2022-09-26,"TN",76073.9887092328,10867.7126727475,3836.9481162267,548.135445175243,11754.1,5510,3405.9481162267,2428,902,1029.42857142857,410,42455.8865893271,9.47235726989747,71.0233185337312,70.2852828560643,62.8500823723229,"No","No","Has Capacity","Has Capacity",
2022-09-26,"TX",154797.059023707,22113.8655748153,10006.9455849507,1429.56365499296,36982.4,12830,7984.9455849507,5806,840,3542,0,31598.2103043297,16.0171001673894,78.4087955758666,77.0802815391761,85.5322080606269,"No","No","Has Capacity","Has Capacity",
2022-09-26,"UT",35519.7235726299,5074.24622466141,2042.34840003461,291.764057147802,4563.3,2651,1899.34840003461,517,214,274.142857142857,0,12406.8421578422,5.40263213500542,58.3777441756051,53.8555265448216,58.6073500967118,"No","No","Has Capacity","Has Capacity",
2022-09-26,"VA",83667.4233748692,11952.4890535528,4310.09054127403,615.727220182004,12201.5,5130,3725.09054127403,1856,642,1032.28571428571,0,30400.9605209605,8.6365752744938,69.4702246340693,69.2575058428717,65.4094827586207,"No","No","Has Capacity","Has Capacity",
2022-09-26,"VT",3361.56953480807,480.224219258295,322.723275862069,46.1033251231527,1047.6,325,269.723275862069,94,17,69.8571428571429,0,1057.94878706199,14.5467762881758,74.2532191807876,73.2069249793899,81.9148936170213,"No","No","Has Capacity","Has Capacity",
2022-09-26,"WA",29183.9667930172,4169.13811328817,1799.21574721513,257.030821030732,8566.8,1671,1337.21574721513,1122,188,1076.14285714286,781,10389.4761679879,25.8121181860802,84.3907206049502,84.3466042154567,83.2442067736185,"No","No","Has Capacity","Has Capacity",
2022-09-26,"WI",46760.6308087183,6680.09011553118,2793.36617667871,399.052310954102,7916.7,3598,2278.36617667871,1236,387,1156,0,19946.1600356647,17.3051557689664,71.2207589440207,69.1238307731915,68.6893203883495,"No","No","Has Capacity","Has Capacity",
2022-09-26,"WV",16789.4957677321,2398.4993953903,940.857469232759,134.408209890394,3182.8,1137,704.857469232759,643,164,456.142857142857,0,5898.41293820402,19.0178433240185,77.8541702515785,76.6960442713671,74.4945567651633,"No","No","Has Capacity","Has Capacity",
2022-09-26,"WY",9148.8108946609,1306.97298495156,722.274544315334,103.182077759333,1196.1,955,686.274544315334,126,88,72.8571428571429,0,7230.85714285714,5.57449493570392,42.6239825837862,38.9386189258312,30.1587301587302,"No","No","Has Capacity","Has Capacity",
2022-09-27,"AK",6344.7027027027,906.3861003861,244.535416666667,34.9336309523809,1232.8,350,207.535416666667,158,26,92.1428571428571,0,3124.6332046332,10.1659609633915,83.1655242807701,79.2899408284024,83.5443037974684,"No","No","Has Capacity","Has Capacity",
2022-09-27,"AL",57878.6133300658,8268.37333286654,3074.1320931595,439.161727594214,11093.7,3547,2753.1320931595,1546,299,674.285714285714,642,11807.8915220294,8.15499841553415,75.1829228015947,74.6570448699628,80.6597671410091,"No","No","Has Capacity","Has Capacity",
2022-09-27,"AR",34698.1448512468,4956.8778358924,1972.32006025617,281.760008608025,6098.7,2082,1725.32006025617,885,238,474.285714285714,142,8377.12494115432,9.56823488469789,71.7100355771529,72.2732720735118,73.1073446327684,"No","No","Has Capacity","Has Capacity",
2022-09-27,"AZ",71554.3053003534,10222.0436143362,3309.34276842621,472.763252632316,10480.8,3977,3026.34276842621,1634,639,571.285714285714,0,42323.3407370015,5.58876224598082,71.1248877144282,73.048251558688,60.8935128518972,"No","No","Has Capacity","Has Capacity",
2022-09-27,"CA",163718.299338867,23388.328476981,12777.5971498611,1825.37102140874,48630.9,14016,10532.5971498611,6657,2036,5072.42857142857,0,86474.7052239858,21.6878627150329,78.3417597661957,77.2112382934443,69.4156526964098,"No","No","Has Capacity","Has Capacity",
2022-09-27,"CO",46007.3219939551,6572.47457056501,2695.54221588513,385.077459412162,8172.1,3098,2437.54221588513,1248,488,654.857142857143,405,21655.1990335246,9.96363144240887,70.1723887876417,69.5647902544454,60.8974358974359,"No","No","Has Capacity","Has Capacity",
2022-09-27,"CT",18545.4153725845,2649.34505322636,1782.38379269247,254.626256098924,5585.4,1560,1268.38379269247,910,275,666.714285714286,265,11839.0297784483,25.1652492340461,77.2910840281364,79.3185735118653,69.7802197802198,"No","No","Has Capacity","Has Capacity",
2022-09-27,"DC",3948.90624442979,564.12946348997,587.121086574164,83.8744409391663,2690.2,647,496.121086574164,331,76,72.1428571428571,160,2154.32339089482,12.788351222882,81.5582080672751,80.9481743227326,77.0392749244713,"No","No","Has Capacity","Has Capacity",
2022-09-27,"DE",6179.27249777478,882.753213967826,549.652556420274,78.5217937743249,2431,401,424.652556420274,181,28,214,602,1442.49527272727,24.2423359795096,82.531774725616,84.1313810842897,84.5303867403315,"No","No","Has Capacity","Has Capacity",
2022-09-27,"FL",132371.200954285,18910.1715648978,15228.8923277719,2175.55604682456,45566,12707,13049.8923277719,6526,1931,2257,2627,48459.6133963734,11.9353755847968,71.36046102846,76.333531997318,70.410665032179,"No","No","Has Capacity","Has Capacity",
2022-09-27,"GA",50459.5087613293,7208.50125161847,3449.77742435196,492.825346335994,14144.2,3666,2787.77742435196,2578,549,1050.42857142857,0,24132.9272934661,14.5720800310984,80.2903138788199,81.7384806973848,78.7044220325834,"No","No","Has Capacity","Has Capacity",
